latitude,longitude,city,region_name,country_name,sport_name,number_of_customers
-39.0725,174.0554,New Plymouth,Taranaki,New Zealand,Soccer,20
-33.7209,151.1708,Saint Ives,New South Wales,Australia,Rugby League,35
-31.9794,115.9181,Carlisle,Western Australia,Australia,Soccer,21
-33.7828,150.7968,Saint Marys,New South Wales,Australia,Cricket,53
-37.9657,144.1357,Lethbridge,Victoria,Australia,Tennis,7
-32.9028,151.6907,New Lambton,New South Wales,Australia,Soccer,34
-33.4733,150.7981,Blaxlands Ridge,New South Wales,Australia,Soccer,5
-32.9500,151.6833,Kotara,New South Wales,Australia,Rugby League,17
-33.5966,151.3238,Palm Beach,New South Wales,Australia,Soccer,13
-19.8433,147.4016,Home Hill,Queensland,Australia,Australian Rules,2
-35.2833,138.4833,Aldinga,South Australia,Australia,Australian Rules,3
-37.7500,145.3500,Lilydale,Victoria,Australia,Soccer,31
-33.8667,151.2000,The Rocks,New South Wales,Australia,Rugby League,3
-27.6167,152.9000,Goodna,Queensland,Australia,Cricket,7
-33.8618,150.8841,Bossley Park,New South Wales,Australia,Soccer,83
-33.7872,150.8296,Minchinbury,New South Wales,Australia,Rugby League,22
-34.1850,150.7145,Douglas Park,New South Wales,Australia,Soccer,14
-27.9888,153.3765,Ashmore,Queensland,Australia,Australian Rules,15
-34.1041,150.7928,Rosemeadow,New South Wales,Australia,Rugby League,28
-38.4707,145.9642,Leongatha,Victoria,Australia,Tennis,3
-28.0278,153.4334,Broadbeach,Queensland,Australia,Cricket,33
-27.4255,153.0010,Alderley,Queensland,Australia,Cricket,29
-27.6055,152.6643,Walloon,Queensland,Australia,Soccer,2
-31.9333,115.8333,Perth,Western Australia,Australia,Soccer,17
-26.6172,153.0367,Bli Bli,Queensland,Australia,Rugby League,17
-36.7661,174.7548,Auckland,Auckland,New Zealand,Australian Rules,3
-33.3167,151.4167,Tuggerah,New South Wales,Australia,Rugby League,44
-37.6674,145.1124,Plenty,Victoria,Australia,Rugby League,2
-33.9167,151.2167,Kensington,New South Wales,Australia,Soccer,49
-33.8170,151.2008,Naremburn,New South Wales,Australia,Rugby League,42
-40.2928,175.7565,Ashhurst,Manawatu-Wanganui,New Zealand,Rugby League,3
